frame.time_epoch,frame.len,tcp.analysis.acks_frame,tcp.analysis.lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.out_of_order
"41.414591000","1502",,,,,,
"41.416093000","1502",,,,,,
"41.439511000","1502",,,,,,
"41.684841000","1502",,,,,,
"41.686343000","1502",,,,,,
"41.742287000","1502",,,,,,
"41.746593000","1502",,,,,,
"41.842915000","1502",,,,,,
"41.875862000","1502",,,,,,"1"
"42.018371000","1502",,,,,,
"42.074288000","1502",,"1",,,,
"42.078594000","1502",,,,,,
"42.139862000","1502",,,"1",,,
"42.207863000","1502",,,,,,
"42.283862000","1502",,,"1",,,
"42.350372000","1502",,,,,,
"42.406518000","1502",,,,,,
"42.471863000","1502",,,,,,
"42.474867000","1502",,"1",,,,
"42.476369000","1502",,,,,,
"42.539865000","1502",,"1",,,,
"42.682374000","1502",,,,,,
"42.806896000","1502",,,,,,
"42.808398000","1502",,,,,,
"42.810045000","1502",,,,,,
"42.883862000","1502",,,,,,"1"
"43.018105000","1502",,"1",,,,
"43.023862000","1502",,,,,,"1"
"43.138924000","1502",,,"1",,,
"43.140426000","1502",,,,,,
"43.142074000","1502",,,,,,
"43.215863000","1502",,,,,,
"43.217365000","1502",,,,,,
"43.355863000","1502",,,,,,
"43.357365000","1502",,,,,,
"43.470925000","1502",,,,,,
"43.475431000","1502",,,,,,
"43.549394000","1502",,,,,,
"43.550896000","1502",,,,,,"1"
"43.802927000","1502",,"1",,,,
"43.807433000","1502",,"1",,,,
"43.882897000","1502",,,,,,
"43.884399000","1502",,,,,,
"44.011862000","1502",,,"1",,,
"44.015862000","1502",,,"1",,,
"44.139461000","1502",,,,,,
"44.158780000","1502",,,,,,
"44.216400000","1502",,"1",,,,
"44.217902000","1502",,,,,,
"44.490808000","1502",,,"1",,,
"44.549931000","1502",,,,,,
"44.592992000","1502",,,,,,
"44.925020000","1502",,,,,,
"45.257048000","1502",,,,,,"1"
"45.307538000","1502",,,,,,
"45.589050000","1502",,,,,,
"45.639540000","1502",,,,,,
"45.921051000","1502",,"1",,,,
"46.087862000","1502",,,"1",,,
"46.274545000","1502",,"1",,,,
"46.419890000","1502",,,"1",,,
"46.451862000","1502",,,"1",,,
"46.606591000","1502",,,,,,"1"
"46.751892000","1502",,,,,,
"46.753394000","1502",,,,,,
"46.754896000","1502",,,,,,
"46.783863000","1502",,,,,,
"47.085395000","1502",,"1",,,,
"47.323862000","1502",,,"1",,,
"47.463264000","1502",,"1",,,,
"47.471862000","1502",,,,,,"1"
"47.619862000","1502",,,,,,"1"
"47.657392000","1502",,"1",,,,
"47.795310000","1502",,,"1",,,
"47.803863000","1502",,,,,,
"47.805365000","1502",,,,,,
"47.806867000","1502",,,,,,
"48.006013000","1502",,,,,,
"48.127311000","1502",,,,,,
"48.128813000","1502",,,,,,
"48.135865000","1502",,,,,,
"48.137367000","1502",,,,,,
"48.138869000","1502",,,,,,
"48.195862000","1502",,,,,,"1"
"48.358671000","1502",,"1",,,,
"48.460815000","1502",,"1",,,,
"48.467866000","1502",,,,,,
"48.469368000","1502",,,,,,
"48.470870000","1502",,,,,,
"48.527863000","1502",,,,,,
"48.529365000","1502",,,,,,
"48.799867000","1502",,"1",,,,
"48.801369000","1502",,,,,,
"48.802871000","1502",,,,,,
"48.804373000","1502",,,,,,
"48.861394000","1502",,"1",,,,
"48.862896000","1502",,,,,,"1"
"48.991862000","1502",,,,,,"1"
"49.131929000","1502",,,"1",,,
"49.133431000","1502",,,,,,
"49.136435000","1502",,"1",,,,
"49.194924000","1502",,,"1",,,
"49.465433000","1502",,"1",,,,
"49.466935000","1502",,,,,,
"49.468585000","1502",,,,,,
"49.526925000","1502",,,,,,
"49.528427000","1502",,,,,,
"49.667862000","1502",,,,,,"1"
"49.798963000","1502",,,,,,
"49.800613000","1502",,,,,,
"49.817667000","1502",,,,,,
"49.858927000","1502",,,,,,
"49.860429000","1502",,,,,,
"49.999862000","1502",,,,,,"1"
"50.132614000","1502",,,,,,
"50.134116000","1502",,,,,,
"50.135618000","1502",,,,,,
"50.149668000","1502",,,,,,
"50.151170000","1502",,,,,,
"50.190928000","1502",,"1",,,,
"50.192430000","1502",,,,,,
